2932
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.47138718,0.39346907,0.089789905,0.78416449,1.159133,0.64957404,2.0963423,7,1,0,0.27000004
2,0.29865628,0.30183509,0.87802082,0.22086072,0.59626067,1.1161232,2.4421463,1,1,0,0.027000003
3,0,0,0,1,5.3078389,1.3531444,2.6971378,3,1,0,0.027000003
4,0.1914074,0.15043992,0.09653502,0.96509683,0.37371966,2.257539,5.8214631,4,1,0,0.081000008
5,-0.47609186,-0.0023551069,0.69839901,0.53438729,1.5466518,1.4392558,2.4293289,5,1,0,0.054000005
6,0.28470701,-0.14412203,0.94618279,0.053935193,0.0098783327,0.64716667,3.9164965,5,1,0,0.054000005
7,-0.47138718,0.39346907,0.089789905,0.78416449,1.1313576,2.4294481,5.1551237,7,1,0,0.10800001
8,0.67705411,-0.34888127,0.20826857,0.61359912,2.3385658,1.7317308,3.29018,6,1,1,0.081000008
9,0.95737243,-0.018294612,0.07858222,0.2773594,2.8463986,2.5567396,2.8846123,7,1,1,0.37800002
10,0.1914074,0.15043992,0.09653502,0.96509683,6.2651744,1.0055764,3.845356,8,1,0,0.21600002
11,0,0,0,1,5.8905382,2.6938951,2.3477547,4,1,0,0.054000005
12,-0.47138718,0.39346907,0.089789905,0.78416449,5.8487735,1.8315343,0.38493744,1,1,0,0.027000003
13,0.1914074,0.15043992,0.09653502,0.96509683,3.6731446,1.9886938,4.0743527,14,1,0,0.9180001
14,0.1914074,0.15043992,0.09653502,0.96509683,4.4624095,1.0588741,2.1600916,4,1,0,0.054000005
15,0.18500413,-0.79144305,-0.18788639,0.55144358,2.1288099,1.8978111,4.8111382,3,1,1,0.081000008
16,0,0,0,1,5.2266312,2.3090875,4.1680202,9,1,0,0.16200002
17,0,0,0,1,5.9366612,1.6227777,3.1328554,8,1,0,0.21600002
