2737,,,,,,,,,,,,,,
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes,Radius,Diameter,Avg Diameter
1,0.86782503,0.01489722,-0.17562118,0.46455896,3.520189,2.1021309,3.4858601,9,1,1,34000,20.09694771,40.19389542,42.01294663
2,0.5903849,0.42876366,-0.49952081,0.46699712,4.5887518,1.635627,3.3325052,11,1,1,89000,27.69706812,55.39413624,
3,0.67663813,-0.65041018,-0.28056949,0.20101789,1.2116249,2.1367514,0.73728192,1,1,0,1000,6.203504909,12.40700982,
4,-0.000629857,0.47542962,-0.51060677,0.7164126,5.3329306,0.99090558,2.1886883,13,1,1,114000,30.07960166,60.15920332,
5,0.097860232,-0.75500107,0.11120569,0.63877231,1.5273283,1.7306832,4.4111261,15,1,1,141000,32.2881752,64.5763504,
6,-0.80741745,-0.057998937,-0.36623728,0.45889372,0.74528313,1.8865927,0.60186416,16,1,1,132000,31.58603464,63.17206928,
7,-0.41298103,0.83995795,-0.10156216,0.33704951,3.3687873,0.26913983,0.61498207,1,1,0,15000,15.29915871,30.59831742,
8,-0.66931784,-0.41275918,-0.22549428,0.57514858,5.2459235,0.31801546,0.98916626,4,1,0,11000,13.79647141,27.59294282,
9,0.38194272,-0.63901252,0.58905298,0.31432369,1.028904,1.6794444,3.0930319,2,1,1,23000,17.64194277,35.28388554,
10,0.17129624,-0.68047208,-0.15013404,0.6964733,0.17297967,0.7118209,3.670861,5,1,0,7000,11.86687798,23.73375597,
11,-0.16437675,0.59422523,0.37018079,0.69486892,3.8518636,2.1097929,3.3581748,16,1,0,191000,35.72576902,71.45153803,
12,0.54126531,0.000723055,-0.8307277,0.13008779,3.4151776,1.6498318,4.3383207,7,1,0,24000,17.89400458,35.78800916,
13,-0.30448422,0.69022787,-0.65503162,0.042525228,1.3325067,2.5524633,4.2485604,7,1,0,31000,19.4875703,38.9751406,
14,0.37542608,-0.27705789,0.17276554,0.86743659,4.1090083,2.3791976,2.7707822,6,1,0,9000,12.90381021,25.80762041,
15,-0.28990179,0.76510555,0.57209963,0.057204649,2.8586886,2.6903536,1.0225585,12,1,0,31000,19.4875703,38.9751406,
16,-0.80257612,-0.21367231,-0.26454389,0.49013492,6.0246177,0.9035902,3.6863797,3,1,0,2000,7.815926418,15.63185284,
17,-0.26337224,0.31856337,0.62200707,0.66502607,3.4549794,0.95927715,2.0120571,18,1,0,87000,27.48802567,54.97605135,
18,0.17129624,-0.68047208,-0.15013404,0.6964733,5.5341692,2.4723794,0.2537179,29,1,0,844000,58.62523714,117.2504743,
19,-0.80176497,0.47599584,0.16385341,0.32210717,4.6573939,0.85247564,0.599002,8,1,0,41000,21.39103258,42.78206516,
20,-0.034712825,-0.27171203,-0.84554815,0.4582749,0.31506726,2.1680608,0.919173,7,1,0,31000,19.4875703,38.9751406,
21,-0.25611725,-0.45784846,0.65581608,0.54284799,3.6901283,1.6041102,0.74327528,10,1,0,82000,26.95101222,53.90202445,
22,0.87803495,0.25668484,-0.080901504,0.3957555,3.310765,0.40085065,0.8712281,2,1,0,3000,8.947002289,17.89400458,
23,0.274593,-0.061568584,0.050255053,0.95827049,0.0808286,2.2919357,2.3542864,1,1,0,1000,6.203504909,12.40700982,
24,-0.31825119,-0.76071405,-0.1697229,0.53965217,0.73736519,2.0470579,0.93298668,6,1,0,5000,10.60784418,21.21568836,
25,0.78173292,-0.50210673,0.33937517,0.14699309,0.79622841,1.1500037,6.1021991,6,1,0,16000,15.63185284,31.26370567,
26,-0.34980127,0.45250973,0.81907046,0.044695042,4.0880823,2.27126,3.1306319,7,1,0,4000,9.847450218,19.69490044,
27,-0.75687057,0.21565847,0.077810064,0.61203265,1.2431384,1.5551826,2.2550108,8,1,0,82000,26.95101222,53.90202445,
28,0.3924365,-0.91084033,-0.12200084,0.038461041,1.5696468,0.22659878,4.6880012,8,1,0,6000,11.27251652,22.54503304,
29,0.66664535,0.37994319,-0.63403487,0.096057296,5.0800486,1.7492882,4.0440125,6,1,1,31000,19.4875703,38.9751406,
30,-0.75687057,0.21565847,0.077810064,0.61203265,2.7699773,1.8836838,2.3528659,7,1,0,10000,13.36504618,26.73009235,
31,0.88591164,0.085826166,0.44020352,0.11838564,0.51469749,2.0460117,0.49635485,22,1,0,256000,39.38980087,78.77960175,
32,-0.1330197,0.67543477,-0.71777308,0.10438176,4.5891776,1.6912833,1.5299243,1,1,0,6000,11.27251652,22.54503304,
33,-0.95411026,0.14933261,-0.090823129,0.24315545,2.221132,2.5244095,2.9810359,11,1,0,15000,15.29915871,30.59831742,
