4683
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0,0,0,1,1.1960624,1.1794199,3.7019632,2,1,0,0.054000005
2,0,0,0,1,5.7975106,1.0105282,1.4317888,2,1,0,0.027000003
3,0.93591589,-0.0034251544,0.33133587,0.11944143,1.913121,2.4217365,1.9204403,4,1,1,0.21600002
4,0,0,0,1,3.4382813,2.2815638,0.67629892,7,1,0,0.081000008
5,0.041064776,-0.43975964,0.84822458,0.2923016,0.42496976,0.91492462,3.3803422,2,1,1,0.054000005
6,-0.69508064,-0.17655481,0.5968771,0.35976252,5.5035677,1.5994177,5.0060763,5,1,1,0.16200002
7,0,0,0,1,3.042197,1.8785542,5.0919762,5,1,0,0.081000008
8,0,0,0,1,2.5641224,1.3890659,1.9952565,2,1,0,0.027000003
9,0,0,0,1,0.72091532,0.79733509,5.6289253,2,1,0,0.027000003
10,0.40924627,0.48552236,0.75851154,0.14644416,5.0739126,2.6939847,2.7603524,8,1,0,0.18900001
11,0,0,0,1,3.5216255,2.177206,2.2513299,7,1,0,0.16200002
12,0,0,0,1,1.4782106,0.1524169,5.8462224,1,1,0,0.027000003
13,0.91232145,0.12282658,0.10600875,0.37595928,3.0005853,2.3389847,2.732933,1,1,1,0.027000003
14,0,0,0,1,3.8406799,2.5062327,3.0604668,2,1,0,0.027000003
15,0.61311954,-0.14238369,0.6237787,0.46336973,1.9815177,1.3616523,2.437885,13,1,1,0.99900007
16,0.1188966,-0.49698409,-0.38797143,0.76703882,2.2738993,1.072715,4.9458466,28,1,1,2.8890002
17,0,0,0,1,1.2070155,1.1118449,2.1513057,8,1,0,0.16200002
18,0.4322595,-0.45749217,0.77217293,0.087186992,1.9230736,1.0278,6.1897779,4,1,0,0.054000005
19,0,0,0,1,5.6979756,1.0452236,1.0206565,5,1,0,0.054000005
20,-0.70802826,0.59979683,0.20529059,0.31111979,3.1244605,1.059834,1.3815652,2,1,0,0.027000003
21,0.50147069,-0.32997841,0.69262254,0.39989421,1.5124109,1.2877492,2.6763978,2,1,1,0.027000003
22,-0.44972366,-0.34643584,0.81945121,0.078934096,6.1934772,2.0420532,0.30248722,11,1,0,0.27000004
23,0,0,0,1,4.1061325,1.9637735,0.13098611,4,1,0,0.054000005
24,-0.041291833,0.16668487,0.94990218,0.26114556,3.6527183,0.34515721,0.025454966,2,1,1,0.027000003
25,0,0,0,1,5.673418,1.144704,4.0183945,16,1,0,0.56700003
26,-0.043323055,-0.8240276,0.45442277,0.33556145,4.0601563,0.83813977,1.3138615,2,1,0,0.027000003
27,-0.35911193,-0.74195772,0.54082191,0.16747849,6.1327229,1.9379125,3.8926716,17,1,1,0.75600004
28,-0.93820965,-0.18395799,-0.18609339,0.22647586,5.4917407,1.4413131,2.6179223,1,1,0,0.027000003
29,0.24292108,0.36297989,-0.16708829,0.88392109,2.0242271,2.5935133,5.95683,2,1,0,0.027000003
30,0,0,0,1,2.3623483,2.7417569,3.2692785,8,1,0,0.081000008
31,0,0,0,1,6.0692034,0.4408918,4.7629461,4,1,0,0.027000003
32,0.02915065,0.7450881,-0.65082181,0.14291599,4.4365101,1.852577,2.6031764,4,1,0,0.10800001
33,0,0,0,1,0.94552225,0.90437466,4.5361814,2,1,0,0.027000003
34,0.73155338,-0.021699471,0.66765267,0.13637729,1.7426349,1.6421392,1.8019419,26,1,1,2.3490002
35,0.1442319,-0.23358257,-0.70890784,0.64968151,3.6283979,2.9616861,4.3129964,1,1,0,0.027000003
36,0.28422955,0.099759363,-0.49107757,0.81737661,4.0201473,0.61196065,3.3450491,2,1,1,0.027000003
37,0.27050349,0.23972549,0.88652152,0.28885826,2.6109309,0.73962837,1.1606325,4,1,1,0.054000005
38,0,0,0,1,1.2053559,0.78916609,3.0581274,3,1,0,0.081000008
39,0.76058668,-0.18181904,-0.60845816,0.1350126,4.2593865,1.7957903,4.7286816,6,1,1,0.21600002
40,0.13911657,0.36050582,0.86530715,0.31925792,4.0573239,1.5971794,2.3691502,1,1,0,0.027000003
41,0.17379922,-0.5282644,0.53067923,0.63961715,5.0022516,2.9452231,3.5988035,2,1,0,0.027000003
42,0,0,0,1,5.4501929,2.0112083,2.9652202,5,1,0,0.13500002
43,0,0,0,1,3.8018947,2.272368,3.8397386,1,1,0,0.027000003
44,-0.2025397,-0.69311988,-0.6057387,0.33413035,2.3532169,1.6136844,6.0634074,2,1,1,0.027000003
45,0.4322595,-0.45749217,0.77217293,0.087186992,5.0827923,0.95692664,2.2088847,1,1,0,0.027000003
46,0,0,0,1,3.5169175,2.4837186,4.4325051,9,1,0,0.13500002
47,0.25957331,0.55028784,0.18476515,0.77179462,2.2928336,2.3076839,3.3430305,4,1,0,0.054000005
48,0.4322595,-0.45749217,0.77217293,0.087186992,0.73456883,2.0792701,3.885371,2,1,0,0.027000003
49,0,0,0,1,6.2293053,1.3808734,0.0033554866,2,1,0,0.027000003
50,-0.79397607,0.19367065,0.079868227,0.57071429,0.78711623,1.4758019,4.7613602,5,1,0,0.054000005
51,-0.028257821,-0.1481273,0.31441718,0.93723083,1.0586176,0.30275205,4.5772147,4,1,1,0.10800001
52,0,0,0,1,4.5688095,1.6536624,2.2690213,3,1,0,0.027000003
53,0,0,0,1,0.0075595658,1.733997,2.1851349,2,1,0,0.027000003
54,0,0,0,1,0.94434863,1.8218328,3.0558827,12,1,0,0.35100004
55,0,0,0,1,3.2536595,1.4155968,5.0433526,4,1,0,0.054000005
56,0,0,0,1,1.9745033,1.994102,5.3852959,5,1,0,0.13500002
57,-0.013292194,0.30940327,-0.86585683,0.3929185,5.9001174,0.62973118,2.6726561,5,1,1,0.027000003
58,0.061144143,-0.7985481,-0.57832104,0.15532924,1.8365916,1.3220742,5.8843184,2,1,0,0.054000005
59,0,0,0,1,3.1313577,1.8338091,2.5188794,7,1,0,0.081000008
60,0.27467546,0.56762356,0.30397102,0.71411377,3.8592696,1.364625,1.6190536,4,1,1,0.10800001
61,0,0,0,1,2.6278818,2.878927,0.61918581,5,1,0,0.054000005
62,-0.48993284,-0.56011689,-0.62624145,0.23250048,4.1803832,2.1716895,1.715964,1,1,0,0.027000003
63,0.82361883,0.19604932,-0.30701512,0.43469343,5.3420458,1.1484736,4.3173733,8,1,0,0.29700002
64,-0.27218738,-0.84056407,-0.34420407,0.31763124,2.0831633,2.1667132,5.8510756,9,1,1,0.27000004
65,0.17794481,-0.71583521,-0.19898696,0.64522851,2.1135845,1.6590798,4.7678871,1,1,1,0.027000003
66,0,0,0,1,0.99573386,1.8332483,4.1625991,2,1,0,0.027000003
67,-0.33554697,0.31277922,0.13705657,0.87794816,5.3780303,0.95310479,0.59543467,11,1,1,0.45900005
68,0,0,0,1,3.8752911,2.5542526,1.3915662,19,1,0,0.54000008
69,-0.79462403,0.48215675,0.36880448,0.0089889169,4.1913724,2.3859119,5.2821426,7,1,1,0.43200004
70,0.53334588,0.65272236,0.37659743,0.38427866,3.2519987,2.0053532,1.4805801,3,1,1,0.027000003
71,-0.47539642,0.81813073,0.25734934,0.19603971,1.5393565,2.2567542,5.1771498,1,1,0,0.027000003
72,-0.37612244,0.50276142,0.15654202,0.76240242,5.1521688,1.3576607,0.72599143,9,1,1,0.35100004
73,0,0,0,1,1.7662921,0.72125101,1.558751,3,1,0,0.054000005
74,0.27465248,0.92920005,-0.22485836,0.10291741,4.9776773,0.82645035,2.1467285,11,1,0,0.37800002
75,0.3854951,0.51726025,0.037054248,0.76319224,4.0234127,1.4023298,2.1627455,3,1,1,0.054000005
76,0.93644083,-0.20906883,-0.13788104,0.24567781,5.9749551,1.1432177,4.0715799,1,1,0,0.027000003
77,0,0,0,1,4.6001773,2.054234,2.1167154,1,1,0,0.027000003
78,0.036128759,-0.67601609,-0.7353096,0.03188562,3.1516492,1.4873055,6.1864562,7,1,1,0.16200002
79,0,0,0,1,0.091849253,1.8620379,4.1556387,5,1,0,0.16200002
80,0.26805186,0.38358021,-0.50133115,0.72779226,5.2006488,1.2774035,0.9731127,3,1,0,0.054000005
81,0.4322595,-0.45749217,0.77217293,0.087186992,6.049222,1.7097293,4.1267667,2,1,0,0.027000003
82,0,0,0,1,5.4677749,1.6536624,5.4615917,5,1,0,0.027000003
83,0.33580375,-0.2892639,0.41681129,0.79361874,1.9469066,0.91835952,3.3690658,1,1,1,0.027000003
84,-0.14001937,0.078478277,-0.93986309,0.30148473,5.338562,2.4940524,0.32521009,6,1,0,0.081000008
85,0.10069117,0.57020354,-0.10310298,0.80876386,4.6644011,1.2350664,1.8723806,1,1,1,0.027000003
86,0.4322595,-0.45749217,0.77217293,0.087186992,3.7409754,1.7660733,3.2648823,11,1,0,0.24300003
87,-0.10506512,-0.91111803,-0.31077233,0.24949096,2.3503335,2.3217683,5.7215409,1,1,1,0.027000003
88,0,0,0,1,0.1868891,0.49108618,0.52820277,3,1,0,0.027000003
89,0.4322595,-0.45749217,0.77217293,0.087186992,5.5748262,0.22763802,1.7899865,5,1,0,0.081000008
90,0.029789703,0.50548023,-0.81105322,0.29290801,5.8777509,1.0619104,2.853889,9,1,1,0.21600002
