435
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0,0,0,1,0.30982268,1.3404709,2.8609447,1,1,0,0.0080000004
2,0.64920771,-0.62900794,0.19145742,0.38239032,1.9078001,2.2578259,3.4469929,1,1,1,0.024
3,0.2347493,0.090524867,0.76996243,0.58639234,2.5897229,0.50866383,1.8536192,4,1,1,0.016000001
4,0,0,0,1,4.5100727,0.59940386,0.32275313,1,1,0,0.0080000004
5,0,0,0,1,4.2912712,2.4404562,0.3213076,7,1,0,0.14400001
6,-0.49175262,0.26767978,0.52772635,0.63877362,1.6066487,1.4151473,0.27528903,12,1,0,0.13600001
7,0,0,0,1,0.58520794,0.75146139,5.4769659,1,1,0,0.0080000004
8,0,0,0,1,5.6825013,1.5278095,6.1787949,9,1,0,0.104
9,0,0,0,1,5.3437233,2.3059144,4.5989413,1,1,0,0.0080000004
10,-0.85132462,-0.33254138,0.39225793,0.10390547,0.29191726,1.7171398,5.2771754,1,1,0,0.0080000004
11,0,0,0,1,4.7808948,0.3680757,0.23808016,1,1,0,0.0080000004
12,-0.24976918,0.47133955,-0.44042823,0.72213387,5.7473459,1.1252967,1.6311713,4,1,1,0.264
13,-0.49175262,0.26767978,0.52772635,0.63877362,1.8255743,1.4647698,1.1056883,1,1,0,0.0080000004
14,0,0,0,1,3.9255462,0.99983811,3.0594559,1,1,0,0.0080000004
15,-0.81412071,0.20230219,-0.54141128,0.056170788,1.2238588,1.9904425,1.7109759,10,1,1,0.208
16,0,0,0,1,4.262486,1.7749373,0.73069525,1,1,0,0.0080000004
17,0,0,0,1,4.5027595,3.0755408,5.9602051,12,1,0,0.32000002
18,0,0,0,1,0.98786819,1.6524267,4.6267929,3,1,0,0.024
19,-0.33399239,-0.18044822,-0.7880972,0.48455182,1.5148854,0.7787742,0.5241909,1,1,1,0.0080000004
20,0,0,0,1,0.42349684,1.031101,3.116924,3,1,0,0.024
21,0.77302629,-0.43739402,-0.45012039,0.09224131,3.9953535,2.1867857,5.0251698,1,1,1,0.040000003
22,-0.49175262,0.26767978,0.52772635,0.63877362,4.227241,2.0159276,4.8891888,1,1,0,0.0080000004
23,0,0,0,1,4.3611345,1.4393338,5.6060238,3,1,0,0.024
24,-0.26080057,-0.41057855,0.21185295,0.84765947,0.75998384,1.0159453,5.0333815,3,1,1,0.0080000004
25,-0.55818254,0.78184152,0.25889045,0.10065725,1.8115879,1.4707949,3.9780815,1,1,0,0.0080000004
26,0.41388375,0.37757409,-0.76011115,0.32919469,5.3981953,0.99661118,4.0799441,10,1,0,0.112
27,0,0,0,1,1.3745188,1.5558052,1.5450566,1,1,0,0.0080000004
28,-0.63412285,0.18295529,-0.48981175,0.56964904,5.8633566,0.76685089,5.2662673,1,1,0,0.0080000004
29,-0.14644301,-0.55347979,-0.809389,0.13078253,2.7227366,1.2191657,0.098461598,1,1,1,0.0080000004
30,-0.49175262,0.26767978,0.52772635,0.63877362,3.4967682,1.3152698,5.5072584,19,1,0,0.48000002
31,0,0,0,1,4.3866405,0.77061445,4.2998581,1,1,0,0.0080000004
32,0,0,0,1,4.9640903,2.5196369,0.99463254,3,1,0,0.0080000004
33,0,0,0,1,2.2017734,1.32986,5.6830974,1,1,0,0.0080000004
34,-0.7456187,0.66555423,0.028670192,0.016380968,0.99670303,2.3813503,6.1781745,1,1,0,0.0080000004
35,0,0,0,1,4.2058034,2.498358,6.1578093,6,1,0,0.192
36,0.77266216,-0.085869253,-0.28988919,0.55819702,1.756811,1.7964534,1.6585118,9,1,0,0.056000002
37,-0.18538372,-0.32835937,-0.36234173,0.85236222,1.918713,2.5497658,4.2925186,1,1,0,0.0080000004
38,0,0,0,1,2.9221923,1.1593556,4.6507154,1,1,0,0.0080000004
39,-0.49175262,0.26767978,0.52772635,0.63877362,5.0432415,1.1893362,3.5641348,1,1,0,0.024
40,0,0,0,1,3.7691875,2.0779257,5.5149832,1,1,0,0.0080000004
41,0.5111655,0.60002661,-0.61408097,0.039781347,5.5128951,1.8158867,3.7825,2,1,1,0.032000002
42,0.52853048,-0.39379376,-0.34225842,0.66965753,2.9737363,1.4392532,4.2544169,2,1,1,0.0080000004
43,-0.21636194,-0.38301724,0.87239939,0.2130836,6.008543,0.91098142,3.895354,4,1,1,0.064000003
44,0.43797421,0.46654692,-0.49224934,0.59008735,4.6538172,1.3887677,3.0198643,2,1,1,0.064000003
45,0,0,0,1,4.3900423,2.7282379,4.6937904,9,1,0,0.2
46,0.24924247,0.95122683,0.17914499,0.030865885,3.0559518,2.7759907,0.42688167,4,1,1,0.016000001
47,0,0,0,1,6.0304289,1.2348081,1.5800043,1,1,0,0.016000001
48,-0.1068626,-0.36932191,-0.91907316,0.086523384,2.7660713,0.7892704,0.18779074,1,1,1,0.0080000004
49,0.39710745,0.81689239,-0.38999647,0.15131184,4.8044763,1.1882031,3.6134501,2,1,0,0.0080000004
50,0,0,0,1,1.4321346,1.1949103,0.10580121,1,1,0,0.0080000004
51,-0.067790166,0.084271215,-0.93667108,0.33309171,4.8612418,0.92879122,3.93927,1,1,0,0.0080000004
52,0.69950104,0.074156687,-0.45521837,0.54587114,3.3198812,1.909954,3.3366258,1,1,0,0.0080000004
53,0,0,0,1,2.6648273,1.4862248,3.9335442,4,1,0,0.032000002
54,0.3667779,0.47921592,0.65911072,0.44877517,3.0861046,1.295687,1.2510442,2,1,1,0.048
55,0,0,0,1,5.678731,2.0495226,5.4662271,6,1,0,0.072000004
56,-0.49175262,0.26767978,0.52772635,0.63877362,0.58688915,1.8658576,0.73065621,1,1,0,0.0080000004
57,0,0,0,1,4.0320315,0.7821908,1.4235613,2,1,0,0.0080000004
