1321
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.55456263,0.28361878,0.38477376,0.6811533,3.1001408,1.3448371,2.1546447,14,1,1,139625
2,-0.92032731,-0.13013555,-0.1103409,0.35197613,4.5335293,2.4117465,1.4227746,6,1,0,8000
3,-0.33944127,-0.23446356,-0.85820293,0.30544102,1.8333482,0.85049272,0.6243884,5,1,1,16250
4,0.64716774,0.58545852,0.15809301,0.4619728,5.3193979,2.0666244,1.5510662,8,1,0,40875
5,-0.50950468,-0.39528352,-0.24293537,0.72466427,0.98328567,1.4016795,5.9468279,14,1,1,81375
6,-0.33191937,-0.54052722,-0.11053736,0.76514131,2.9901798,0.36200798,0.2500053,8,1,0,19125
7,-0.7793082,0.36481491,0.0017308341,0.50949568,1.0672085,1.5842502,2.5363317,12,1,0,38125
8,-0.66131431,0.20671761,0.56791806,0.44429752,0.63670832,0.85197097,5.6572409,5,1,0,3250
9,0.9258942,-0.040670577,-0.1825842,0.32822078,3.6053505,2.3715317,3.6931455,15,1,1,178375
10,0.37153792,0.67009717,0.62904871,0.13125196,2.1527503,1.5469089,4.7397909,6,1,0,15625
11,0.082768284,0.45489705,-0.82093036,0.33509901,0.8229925,1.8523405,5.5153232,11,1,0,62125
12,0.60427594,-0.7689274,0.20879146,0.0027203285,3.3380632,2.4285352,3.3327165,8,1,0,24375
13,0.71006632,0.040734299,0.66496295,0.22797103,1.9583758,1.5825037,1.8437676,3,1,1,6250
14,0.0029112862,0.82657009,-0.45296559,0.33405927,5.8013263,1.5479565,1.387067,23,1,0,232125
15,0.87292206,-0.35023555,-0.16159596,0.29871193,1.0110368,2.0912697,3.9275742,6,1,0,6875
16,-0.38199586,0.80990189,0.021526972,0.44460613,5.1047258,2.2189605,1.0816988,6,1,1,40125
17,0.17361599,0.80848068,-0.32874349,0.4562282,2.3129287,2.1027601,1.3662088,54,1,0,1694375
18,-0.64234567,0.44516367,0.082868837,0.61834794,0.38067019,1.169566,0.81859314,12,1,0,15000
19,-0.59933776,0.39863476,0.52170211,0.45794269,5.883872,2.0432549,0.17318596,22,1,0,345750
20,0.21558528,-0.35238138,-0.41001835,0.81316376,2.5868666,0.85170573,4.6303644,13,1,1,60125
21,-0.47519797,-0.14013101,-0.20268646,0.84467059,6.0369329,0.72400498,5.8532734,6,1,0,20625
22,0.32649717,0.30479792,0.89317924,0.052236717,3.8507833,1.4319241,5.0229158,12,1,0,105250
23,0.38292584,0.46382752,0.32386881,0.73030192,3.8258774,0.95337856,2.929951,4,1,0,2375
24,0.31093863,0.26356167,-0.7034784,0.58221179,4.6652493,1.6407143,4.0644002,7,1,0,14625
25,-0.10060125,-0.83596897,0.40258867,0.35910678,0.60860932,2.0019612,3.989732,19,1,1,145250
26,0.83209831,-0.28136259,0.36255282,0.31145293,3.6290405,0.17122503,4.9461741,1,1,0,125
27,0.26533481,0.20725432,-0.39227837,0.85601443,2.016187,2.7877674,6.0273843,20,1,0,210750
28,0.041257802,-0.52782261,0.45679334,0.71487123,1.0802095,1.1158633,4.0657873,21,1,1,632000
29,0.49061295,0.27485284,-0.80886328,0.17174114,5.0138302,1.1944664,3.9925134,20,1,1,184500
30,0.39972866,-0.21501082,0.75769126,0.46892568,1.6314884,0.94224364,2.6184878,6,1,1,21000
31,-0.9610635,-0.059688974,-0.19641817,0.1849706,0.87743223,2.5952137,0.75337714,19,1,1,315125
32,-0.12953225,-0.11367603,0.87881583,0.44495156,5.9013643,0.34640807,4.4607759,16,1,1,138875
33,0.90267986,0.26037085,-0.0011034792,0.34260014,4.1116209,1.6102375,1.7722125,1,1,0,500
34,0.036177825,-0.043111324,0.079208657,0.99526811,0.0110827,2.8341556,1.0723741,19,1,0,205125
35,0.92010117,0.23971538,-0.13325818,0.27962968,3.8411727,2.511714,3.3314409,14,1,1,697250
36,0.28244108,-0.54075873,-0.2481264,0.75248945,2.7208295,1.9901134,1.1453804,16,1,0,81250
37,0.040735327,0.45601314,-0.749421,0.47828946,1.6519246,0.64555609,4.5248818,7,1,0,15875
38,-0.042127941,0.99729604,0.02036914,0.056664292,4.4095192,3.0210915,1.1834924,3,1,1,2750
39,0.041541465,0.6407432,0.15530436,0.75073498,4.4436541,1.3944386,1.4315467,7,1,1,47875
40,-0.14643826,-0.17140752,0.57295144,0.78797334,0.74383831,2.185998,5.3244166,20,1,0,152000
41,0.18051429,0.73408651,-0.44395933,0.48107344,5.2165675,1.7142245,2.5572133,6,1,1,49125
42,0.022543596,0.14402801,-0.95098293,0.27272561,5.8486352,0.29260597,3.0175676,16,1,1,338375
43,-0.66199708,0.01589741,0.22378089,0.71514285,0.50769943,1.6633679,3.9241214,7,1,0,11875
44,-0.65077907,-0.57355499,-0.13866161,0.4778015,6.1261988,0.52346396,4.3521996,16,1,0,127125
45,0.8493976,0.28781492,0.0013894987,0.44236231,5.7263727,2.6535687,6.022202,8,1,0,20750
46,-0.40258884,-0.70175725,0.30506909,0.50238615,0.50422347,1.885024,4.6875095,8,1,1,25500
47,-0.65077907,-0.57355499,-0.13866161,0.4778015,4.2535987,2.3470991,3.8270228,4,1,0,4750
48,-0.6004014,0.49155578,-0.61276174,0.14971378,6.0048871,1.9574456,1.3401256,10,1,0,22500
49,0.032756634,0.39322832,-0.91513056,0.08267121,5.8037958,1.1413769,6.1415911,22,1,0,100000
50,0.63959098,-0.27454168,0.70564723,0.13271102,0.13720749,0.22167166,2.468008,10,1,0,32750
51,0.33536533,-0.34472606,0.32503405,0.81427687,1.9626417,1.0034595,3.5609641,5,1,1,13875
52,0.60506451,-0.17268197,-0.12350819,0.76734841,5.626049,0.95110333,2.662642,1,1,0,625
53,-0.25593376,-0.30925509,0.86810666,0.29197598,5.0240288,2.1184855,5.1483097,15,1,0,120625
54,0.31093863,0.26356167,-0.7034784,0.58221179,4.108882,2.1255217,0.81215286,14,1,0,53375
55,0.28244108,-0.54075873,-0.2481264,0.75248945,1.7157903,1.6511856,4.2787867,16,1,0,86500
56,-0.38812628,0.0098963333,-0.8293767,0.40173912,1.0942249,0.79746902,1.1452093,14,1,1,121125
57,0.15453735,-0.54084706,0.66099352,0.49667916,2.0030718,2.2496915,3.4056087,1,1,0,125
58,-0.38734302,-0.72000533,0.36284292,0.44710478,3.9793217,1.45322,0.37376416,43,1,0,754250
59,-0.16940007,0.49313286,-0.8375895,0.1629952,5.5164213,0.37888879,5.0151463,6,1,0,14500
60,-0.41587716,0.055877883,0.79354638,0.4406904,5.0857635,0.86604077,5.3528867,17,1,1,344625
61,-0.44461676,-0.33743846,-0.022357494,0.82942832,1.7571437,1.3065642,5.8746314,8,1,0,16250
62,0.31093863,0.26356167,-0.7034784,0.58221179,4.2957397,2.5725315,2.7420211,5,1,0,7250
63,0.51954246,-0.17182957,-0.77442878,0.31750628,4.9209461,0.89317816,3.5324769,16,1,0,42000
64,0.040498719,-0.68148082,-0.15838504,0.71334279,1.848642,1.5028565,4.8715191,7,1,1,20125
65,0.31093863,0.26356167,-0.7034784,0.58221179,5.4457397,1.977302,0.96662003,12,1,0,80250
66,-0.22285621,0.54680324,0.77783108,0.21522115,5.8017559,1.6691538,6.1396084,1,1,0,125
67,-0.84498656,0.51075715,0.11788939,0.10595701,4.9008422,2.8232338,5.9882212,10,1,1,22375
68,0.19077393,-0.10150348,-0.53522283,0.81660205,3.2328067,0.43562922,4.2107401,10,1,1,31000
69,-0.00058288925,-0.61355287,-0.76809245,0.18326621,5.3520207,0.89781773,0.70639849,12,1,0,30625
70,0.49666274,-0.32963207,-0.63574117,0.49041,4.0067554,2.3107214,5.5719833,8,1,0,34500
71,0.28015435,0.89729893,0.21482852,0.26498476,3.7285161,2.4453597,1.1921823,11,1,1,96500
72,0.14908333,0.45442015,0.87451667,0.080604382,5.3267488,0.31800321,5.1229415,13,1,0,58000
73,0.12171219,0.85763997,0.3373276,0.36857828,3.8302584,2.095227,0.9706136,10,1,1,132125
74,0.075677499,-0.59496629,-0.25942633,0.75695843,5.7358403,1.9083868,1.0340374,6,1,0,2500
75,-0.33983752,0.38081846,0.84879535,0.13796449,4.0313182,1.0713091,5.7157245,25,1,1,701875
76,0.61992586,0.33905682,-0.043203469,0.70630437,1.352343,2.7710192,5.9163303,10,1,0,17625
77,0.033523869,0.17606206,0.98330688,0.031397119,1.964134,0.63608205,2.3455038,4,1,0,9375
78,0.065653585,0.91639197,-0.10028689,0.38191348,4.8976607,2.3297591,1.8991109,9,1,1,57000
79,-0.39297482,0.34764177,0.41761047,0.74183381,5.0461946,1.1046669,0.21153817,7,1,1,48375
80,0.0013971473,0.75260925,0.61082631,0.24590372,0.58170164,2.8220236,4.831924,4,1,0,3125
81,-0.20837675,-0.17380081,-0.21206489,0.93882948,1.8874916,2.4755702,3.1830494,6,1,0,2625
82,-0.23687756,0.3642073,0.89297366,0.11764429,3.6029851,1.5382929,4.5641255,11,1,0,34625
83,-0.4002701,-0.19505987,0.14732002,0.88319433,0.28817058,0.92294937,5.6644506,4,1,1,25375
84,0.28244108,-0.54075873,-0.2481264,0.75248945,4.3883314,2.6328161,6.0543256,10,1,0,31625
85,0.62382364,-0.45461792,0.40137318,0.49301741,3.9498231,2.1485806,0.53249925,14,1,0,54250
86,0.22660668,0.8090055,-0.28362426,0.46229511,3.3713584,2.0222511,0.83560693,6,1,0,21125
87,0.84620988,0.019186337,0.49074137,0.20672099,1.9921492,2.0184801,1.9468105,23,1,1,302125
88,-0.7574721,0.0067445147,0.36008435,0.54454547,5.6900334,1.7189567,5.7078409,5,1,1,49125
89,-0.59933776,0.39863476,0.52170211,0.45794269,4.1314006,2.2955611,3.7440467,13,1,0,24625
90,-0.37344244,0.87427807,-0.29483134,0.096192725,0.24645996,1.4964087,0.97042948,4,1,0,2625
91,-0.25593376,-0.30925509,0.86810666,0.29197598,0.67880785,0.99097335,5.055068,12,1,0,41000
92,-0.25600189,-0.87091345,0.38909939,0.15676242,1.8709309,1.0492842,6.191041,21,1,0,129500
93,-0.081165023,-0.025598986,0.18331638,0.97936302,4.3195381,0.54500294,0.70599431,5,1,0,6250
94,0.96060061,0.15293941,-0.1291548,0.19280839,3.8896904,2.6731842,3.5739162,9,1,1,45125
95,0.4869847,0.47434452,-0.66831446,0.30199164,2.0991645,1.4799533,5.4150705,1,1,0,1500
96,-0.25593376,-0.30925509,0.86810666,0.29197598,2.6451983,0.61707741,0.45038927,11,1,0,49000
97,0.72967196,0.07871154,0.62541181,0.26503474,3.0253146,2.7108696,2.7026603,31,1,0,521375
98,-0.73517209,-0.32694635,0.50542063,0.31173414,4.9895792,1.9950942,2.3941991,1,1,0,125
99,-0.46043643,0.38865408,-0.7881071,0.12583119,4.7137218,1.7998306,2.4759817,7,1,0,19625
100,-0.35326725,0.1799446,-0.34571454,0.85047257,6.1981626,0.8153078,0.85721219,8,1,1,9875
101,0.26592901,0.35124472,0.17108713,0.88127071,1.6450365,1.0562376,3.9196196,2,1,0,3250
102,-0.18859109,0.69745094,0.5729686,0.3869141,3.3723948,1.4223166,1.0802032,13,1,0,44250
103,-0.6903491,-0.12960593,-0.55650496,0.4437598,4.2615528,0.97585297,2.9773736,1,1,0,750
104,-0.56647456,-0.40505186,0.35106751,0.62593228,0.10959711,1.5407126,5.1512852,7,1,1,147500
105,-0.3302305,-0.78341031,0.34083799,0.40130484,0.46776736,2.0326047,4.4072146,4,1,1,19250
106,-0.3134158,-0.41233096,0.30762038,0.79820007,5.7358403,1.9083868,1.0340374,5,1,0,3000
